x axis;y axis;y2 axis
0;0;1
1;0.327194697;0.968912422
2;0.618369803;0.877582562
3;0.841470985;0.731688869
4;0.971937901;0.540302306
5;0.995407958;0.315322362
6;0.909297427;0.070737202
7;0.723085882;-0.178246056
8;0.457272627;-0.416146837
9;0.141120008;-0.628173623
10;-0.190567963;-0.801143616
11;-0.501277049;-0.924302379
12;-0.756802495;-0.989992497
13;-0.929014501;-0.994129676
14;-0.998954917;-0.936456687
15;-0.958924275;-0.820559357
16;-0.813329392;-0.653643621
17;-0.578198242;-0.44608749
18;-0.279415498;-0.210795799
19;0.05012701;0.037602153
20;0.374151231;0.283662185
21;0.656986599;0.512085477
22;0.86749687;0.708669774
23;0.982507787;0.861192417
24;0.989358247;0.960170287
25;0.887294108;0.999449418
26;0.687551215;0.976587626
27;0.412118485;0.893006345
28;0.091317236;0.753902254
29;-0.239536773;0.567924173
30;-0.544021111;0.346635318
31;-0.788616282;0.103794357
32;-0.946395757;-0.145500034
33;-0.999990207;-0.385747937
34;-0.943499627;-0.602011903
35;-0.783142846;-0.780845684
36;-0.536572918;-0.911130262
37;-0.230933766;-0.984765173
38;0.100127986;-0.997172156
39;0.420167037;-0.947579804
40;0.693951535;-0.839071529
