CRS1_cpu0_idle_min;CRS1_cpu0_idle_max;CRS1_free_mem;CRS1_free_disk;CRS2_cpu0_idle_min;CRS2_cpu0_idle_max;CRS2_free_mem;CRS2_free_disk;CRS3_cpu0_idle_min;CRS3_cpu0_idle_max;CRS3_free_mem;CRS3_free_disk;GES1ecn2_cpu0_idle;GES1ecn2_free_mem;GES1ecn3_cpu0_idle;GES1ecn3_free_mem;GES2ecn2_cpu0_idle;GES2ecn2_free_mem;GES2ecn3_cpu0_idle;GES2ecn3_free_mem;GES3ecn2_cpu0_idle;GES3ecn2_free_mem;GES4ecn2_cpu0_idle;GES4ecn2_free_mem;GES5ecn2_cpu0_idle;GES5ecn2_free_mem;NBX1_cpu0_idle_min;NBX1_cpu0_idle_max;NBX1_cpu1_idle_min;NBX1_cpu1_idle_max;NBX1_free_mem;NBX1_free_disk;NBX2_cpu0_idle_min;NBX2_cpu0_idle_max;NBX2_cpu1_idle_min;NBX2_cpu1_idle_max;NBX2_free_mem;NBX2_free_disk;TRS1_cpu0_idle_min;TRS1_cpu0_idle_max;TRS1_free_mem;TRS1_free_disk;TRS2_cpu0_idle_min;TRS2_cpu0_idle_max;TRS2_free_mem;TRS2_free_disk;CRS1_cpu0_idle_min;CRS1_cpu0_idle_max;CRS1_free_mem;CRS1_free_disk;CRS2_cpu0_idle_min;CRS2_cpu0_idle_max;CRS2_free_mem;CRS2_free_disk;CRS3_cpu0_idle_min;CRS3_cpu0_idle_max;CRS3_free_mem;CRS3_free_disk;GES1ecn2_cpu0_idle;GES1ecn2_free_mem;GES1ecn3_cpu0_idle;GES1ecn3_free_mem;GES2ecn2_cpu0_idle;GES2ecn2_free_mem;GES2ecn3_cpu0_idle;GES2ecn3_free_mem;GES3ecn2_cpu0_idle;GES3ecn2_free_mem;GES4ecn2_cpu0_idle;GES4ecn2_free_mem;GES5ecn2_cpu0_idle;GES5ecn2_free_mem;NBX1_cpu0_idle_min;NBX1_cpu0_idle_max;NBX1_cpu1_idle_min;NBX1_cpu1_idle_max;NBX1_free_mem;NBX1_free_disk;NBX2_cpu0_idle_min;NBX2_cpu0_idle_max;NBX2_cpu1_idle_min;NBX2_cpu1_idle_max;NBX2_free_mem;NBX2_free_disk;TRS1_cpu0_idle_min;TRS1_cpu0_idle_max;TRS1_free_mem;TRS1_free_disk;TRS2_cpu0_idle_min;TRS2_cpu0_idle_max;TRS2_free_mem;TRS2_free_disk;
77.358490566;87.7358490566;81.8915256374;73.0;43.8095238095;48.0769230769;81.913586083;73.0;77.5700934579;95.2380952381;82.4430367779;72.0;100;92.5351964698;95.2;92.6954192057;95.2;92.5658401625;95.2;92.4949219024;100;91.9424599005;100;92.4879176298;95.2;92.4765356868;80.412371134;97.9166666667;75.7575757576;96.9387755102;86.687856186;77.0;68.2692307692;93.0;79.797979798;95.0;86.7021234435;77.0;27.34375;57.5757575758;14.2955705809;38.0;23.9130434783;59.3220338983;6.7890161446;37.0;78.3018867925;88.679245283;81.913586083;73.0;86.1111111111;95.2380952381;81.9072830985;73.0;39.6226415094;49.0384615385;82.3989158867;72.0;95.2;91.8750437767;95.2;92.7260628984;95.2;92.4467675282;100;92.5229389928;100;92.5395741402;95.2;92.4380121874;100;92.4782867549;63.5416666667;95.6989247312;80.0;97.9166666667;86.409644666;76.0;64.2857142857;97.9166666667;84.693877551;97.9591836735;86.6926119385;76.0;15.4471544715;49.6124031008;11.5358079205;37.0;38.5826771654;64.7058823529;7.2443769836;37.0;
78.3018867925;87.7358490566;82.0238883111;73.0;42.9906542056;48.5714285714;82.0238883111;73.0;78.3018867925;95.2380952381;82.5312785604;72.0;100;92.5308187995;95.2;92.7418225117;100;92.5351964698;90.4;92.5894795825;100;91.9048119353;100;92.4651537438;100;92.5168102543;63.2653061224;96.9387755102;85.5670103093;97.9591836735;86.3636723921;77.0;64.0776699029;93.9393939394;82.0;96.0;86.442142308;77.0;28.2258064516;58.6206896552;13.6470263557;38.0;36.1538461538;61.7886178862;7.4513591831;37.0;79.2452830189;89.5238095238;82.0238883111;73.0;85.046728972;95.2380952381;82.0238883111;73.0;38.0952380952;48.0769230769;82.4650972235;72.0;100;91.8811725152;95.2;92.7409469777;100;92.4283813126;95.2;92.5588358899;95.2;92.5220634587;95.2;92.4187504378;95.4;92.444140926;73.6842105263;94.7368421053;73.1958762887;96.9072164948;85.926143164;76.0;75.7575757576;96.9696969697;84.5360824742;96.9387755102;86.4342160538;76.0;19.5652173913;53.0769230769;12.9708845039;37.0;32.5757575758;66.3865546218;7.1891817304;37.0;
75.9259259259;88.679245283;82.0459487567;73.0;43.5185185185;48.5714285714;82.0680092024;73.0;76.1904761905;95.2380952381;82.553339006;72.0;95.0;92.5886040485;100;92.7426980458;95.2;92.5789731736;95.4;92.5238145269;100;91.9503397072;95.2;92.4572739371;100;92.5439518106;77.5510204082;96.9387755102;81.4432989691;96.9387755102;85.9697375617;77.0;65.0485436893;94.8979591837;81.3725490196;95.0495049505;86.1948431791;77.0;24.4444444444;57.9710144928;13.3572512764;38.0;28.7878787879;64.1666666667;7.492755623;37.0;79.2452830189;88.679245283;82.0459487567;73.0;85.9813084112;95.2380952381;82.0680092024;73.0;39.0476190476;47.619047619;82.4871576692;72.0;100;91.8934299923;95.2;92.7724662044;95.2;92.4432653919;95.2;92.6122434685;95.2;92.5299432654;95.4;92.4765356868;95.2;92.5115570498;75.8241758242;96.7391304348;73.0;94.9494949495;85.5092221967;76.0;74.2268041237;96.9072164948;82.2916666667;96.9387755102;86.1472856543;76.0;16.2393162393;52.3076923077;13.3020560232;37.0;40.2985074627;65.5462184874;7.4789568097;37.0;
75.4716981132;87.7358490566;82.0459487567;73.0;40.9523809524;47.619047619;82.0680092024;73.0;78.5046728972;96.1538461538;82.553339006;72.0;100;92.5465784128;100;92.7164320235;95.2;92.5448273447;95.4;92.5929817188;95.4;91.8951810604;95.4;92.4353855852;100;92.4984240387;68.6868686869;96.9387755102;80.412371134;96.9387755102;85.6376275136;77.0;71.6981132075;93.0693069307;77.4509803922;96.0;86.0807051196;77.0;20.5128205128;60.6299212598;14.70953498;38.0;29.197080292;64.4628099174;7.3409686767;37.0;79.8165137615;89.6226415094;82.0459487567;73.0;85.9813084112;95.2380952381;82.0459487567;73.0;39.0476190476;47.619047619;82.4871576692;72.0;95.2;91.8365202774;95.2;92.7278139665;100;92.4642782097;95.4;92.5745955033;95.2;92.4835399594;95.2;92.4774112208;95.2;92.4625271416;75.5319148936;96.7032967033;80.198019802;94.0;85.2706419473;76.0;75.5102040816;96.9072164948;76.7676767677;97.9591836735;86.0149172103;76.0;19.4915254237;48.6666666667;12.4189319719;37.0;25.3623188406;55.0;7.4789568097;37.0;
77.358490566;86.7924528302;82.0459487567;73.0;44.3396226415;48.5714285714;82.0680092024;73.0;77.1428571429;95.2380952381;82.5407330371;72.0;95.4;92.5570848217;95.2;92.7129298872;100;92.5728444351;95.2;92.4922953001;100;91.8969321286;95.2;92.5150591861;100;92.5168102543;74.4897959184;96.9387755102;79.1666666667;97.9381443299;85.3546602411;77.0;72.0;93.0;79.2079207921;95.9183673469;85.8460879973;77.0;17.9487179487;60.15625;13.3710500897;38.0;28.2258064516;65.5462184874;7.5893473161;37.0;72.641509434;88.679245283;82.0459487567;73.0;84.7619047619;95.2380952381;82.0459487567;73.0;37.1428571429;47.619047619;82.4871576692;72.0;100;91.8934299923;95.4;92.7138054213;95.4;92.4415143237;100;92.5334454017;91.3;92.5413252084;100;92.4502696645;100;92.4826644253;71.7391304348;96.6666666667;80.8080808081;94.9494949495;84.8664029866;76.0;77.3195876289;96.9387755102;87.7551020408;96.9387755102;85.8341986161;76.0;20.9302325581;51.8248175182;12.7225058645;37.0;37.5939849624;67.2131147541;7.5479508762;37.0;
75.9259259259;87.7358490566;82.0459487567;73.0;42.9906542056;48.1132075472;82.0680092024;73.0;77.358490566;95.2380952381;82.553339006;72.0;100;92.5045527772;95.2;92.7155564895;100;92.5422007425;100;92.4695314142;100;91.9328290257;100;92.4896686979;100;92.5675912307;76.7676767677;96.9072164948;81.4432989691;97.9166666667;85.1057758614;77.0;72.380952381;91.1764705882;78.7878787879;95.0495049505;85.6304938849;77.0;25.641025641;59.5890410959;14.3783634607;38.0;34.0277777778;64.5161290323;7.492755623;37.0;78.3018867925;88.679245283;82.0459487567;73.0;85.9813084112;95.2380952381;82.0459487567;73.0;38.0952380952;48.5714285714;82.4871576692;72.0;100;91.8312670729;100;92.733067171;100;92.4844154935;100;92.5246900609;95.2;92.5203123906;100;92.4301323808;95.2;92.5089304476;74.7252747253;96.6666666667;70.7070707071;95.9183673469;84.6262374864;76.0;74.7474747475;97.9381443299;85.8585858586;96.9387755102;85.7089638008;76.0;21.9512195122;50.7936507937;12.4327307852;37.0;32.03125;61.3445378151;7.4375603698;37.0;
75.0;88.679245283;82.0459487567;73.0;42.9906542056;48.5714285714;82.0680092024;73.0;75.7009345794;95.2380952381;82.5627934827;72.0;95.2;92.5745955033;95.4;92.7225607621;100;92.5527071514;95.4;92.4520207326;90.0;91.901309799;95.2;92.444140926;100;92.5124325839;71.4285714286;96.9072164948;81.4432989691;98.9583333333;84.9638959124;77.0;71.6981132075;91.1764705882;83.0;95.0495049505;85.4077661438;77.0;22.3140495868;56.6929133858;14.4059610873;38.0;36.690647482;63.3333333333;7.6031461294;37.0;77.358490566;89.6226415094;82.0459487567;73.0;83.3333333333;95.2380952381;82.0459487567;73.0;37.3831775701;48.0769230769;82.4871576692;72.0;100;91.84352455;100;92.7243118302;100;92.4852910275;100;92.571093367;95.4;92.5124325839;100;92.4047418926;95.2;92.4415143237;73.4042553191;95.652173913;75.5102040816;95.9595959596;84.4399705143;76.0;75.0;97.9381443299;82.8282828283;97.9166666667;85.4545310432;76.0;22.5806451613;54.2635658915;12.515523665;37.0;33.0827067669;70.3389830508;7.4789568097;37.0;
77.7777777778;88.679245283;82.0459487567;73.0;42.4528301887;48.5714285714;82.0680092024;73.0;77.1428571429;95.2380952381;82.5753994516;72.0;100;92.5176857883;95.4;92.7356937732;95.2;92.5623380262;100;92.4940463683;95.2;91.9389577642;95.2;92.4222525741;95.2;92.5001751068;80.2083333333;97.9381443299;75.5102040816;95.9595959596;84.66190563;77.0;72.8155339806;91.1764705882;79.4117647059;95.0495049505;85.2476558103;77.0;22.7642276423;54.3307086614;14.1023871947;38.0;34.0909090909;64.4628099174;7.5893473161;37.0;77.358490566;88.679245283;82.0459487567;73.0;85.9813084112;95.2380952381;82.0680092024;73.0;39.0476190476;47.619047619;82.4871576692;72.0;90.0;91.8268894025;90.9;92.7295650347;95.2;92.409995097;95.2;92.4879176298;95.2;92.548329481;95.4;92.4537718008;95.2;92.456398403;75.2688172043;96.7391304348;73.0;94.0;84.2338879069;76.0;69.4736842105;97.9381443299;79.2079207921;97.9381443299;85.2991764622;76.0;15.3284671533;46.511627907;12.4741272251;37.0;37.1428571429;68.3333333333;7.5203532496;37.0;
77.358490566;88.679245283;82.0459487567;73.0;42.0560747664;48.1132075472;82.0459487567;73.0;74.5283018868;96.1538461538;82.5627934827;72.0;100;92.4879176298;100;92.7409469777;95.2;92.5185613224;100;92.5360720039;95.2;91.9529663094;95.4;92.4957974364;100;92.525565595;76.7676767677;96.9387755102;83.6734693878;97.9381443299;84.3511964681;77.0;70.4761904762;93.0693069307;82.1782178218;95.0;84.9607254108;77.0;18.8034188034;58.3333333333;14.6681385401;38.0;27.9069767442;60.3305785124;7.5755485028;37.0;76.8518518519;89.6226415094;82.0459487567;73.0;85.046728972;95.2380952381;82.0459487567;73.0;38.0952380952;48.0769230769;82.5092181148;72.0;95.2;91.9048119353;90.4;92.7356937732;95.2;92.4537718008;100;92.5745955033;95.2;92.5290677313;95.2;92.4371366534;100;92.5071793794;61.2903225806;96.7391304348;77.7777777778;94.9494949495;83.950128009;76.0;75.0;97.9381443299;87.7551020408;97.9381443299;85.0487068316;76.0;14.6341463415;52.7559055118;11.5910031737;37.0;33.064516129;69.2307692308;7.4789568097;37.0;
76.1467889908;88.679245283;82.0238883111;73.0;43.9252336449;48.5714285714;82.0459487567;73.0;77.7777777778;95.2380952381;82.553339006;73.0;95.2;92.536947538;95.2;92.7540799888;100;92.5465784128;100;92.5430762765;90.0;91.9205715486;100;92.4161238355;100;92.5439518106;79.1666666667;97.9381443299;78.3505154639;96.9072164948;84.1926713854;77.0;69.5238095238;91.1764705882;77.2277227723;96.0;84.8664029866;77.0;18.8524590164;59.375;13.4124465296;38.0;33.0985915493;62.5;8.6656547537;37.0;77.5700934579;88.679245283;82.0459487567;73.0;86.9158878505;95.2380952381;82.0459487567;73.0;38.0952380952;48.0769230769;82.5092181148;72.0;86.3;91.8338936751;90.9;92.7225607621;100;92.4406387897;100;92.6218743433;100;92.5203123906;100;92.4257547104;95.2;92.4493941304;76.8421052632;96.7741935484;75.4901960784;93.9393939394;83.8034923076;76.0;76.7676767677;96.9072164948;85.7142857143;96.9387755102;84.8973153777;76.0;16.2601626016;52.5925925926;12.9156892507;37.0;32.5396825397;69.2307692308;7.4789568097;37.0;
