"uptime (s)","time (s)","cpu0 user (%)","cpu0 nice (%)","cpu0 system (%)","cpu0 idle (%)","cpu0 iowait (%)","cpu0 irq (%)","cpu0 softirq (%)","cpu0 steal (%)","cpu0 guest (%)","cpu0 guest_nice (%)"
108718.44,0.0,22.641509433962263,0.0,16.037735849056602,60.37735849056604,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108719.5,1.0599999999976717,18.867924528301888,0.0,17.92452830188679,62.264150943396224,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108720.56,2.1199999999953434,19.81132075471698,0.0,17.92452830188679,59.43396226415094,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108721.62,3.179999999993015,26.41509433962264,0.0,12.264150943396226,60.37735849056604,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108722.68,4.239999999990687,16.9811320754717,0.0,19.81132075471698,58.490566037735846,0.0,0.0,4.716981132075472,0.0,0.0,0.0
108723.74,5.30000000000291,23.58490566037736,0.0,15.09433962264151,60.37735849056604,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108724.8,6.360000000000582,24.528301886792452,0.0,13.20754716981132,61.320754716981135,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108725.86,7.419999999998254,17.92452830188679,0.0,16.9811320754717,62.264150943396224,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108726.92,8.479999999995925,18.867924528301888,0.0,18.867924528301888,59.43396226415094,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108727.98,9.539999999993597,21.69811320754717,0.0,16.9811320754717,60.37735849056604,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108729.04,10.599999999991269,17.92452830188679,0.0,14.150943396226415,62.264150943396224,0.0,0.0,5.660377358490566,0.0,0.0,0.0
108730.1,11.660000000003492,23.58490566037736,0.0,14.150943396226415,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108731.16,12.720000000001164,17.92452830188679,0.0,22.641509433962263,58.490566037735846,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108732.22,13.779999999998836,26.41509433962264,0.0,9.433962264150944,62.264150943396224,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108733.28,14.839999999996508,15.09433962264151,0.0,22.641509433962263,58.490566037735846,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108734.34,15.89999999999418,24.528301886792452,0.0,15.09433962264151,57.54716981132076,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108735.4,16.95999999999185,23.58490566037736,0.0,16.9811320754717,58.490566037735846,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108736.46,18.020000000004075,18.867924528301888,0.0,17.92452830188679,60.37735849056604,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108737.51,19.069999999992433,16.9811320754717,0.0,20.754716981132077,61.320754716981135,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108738.57,20.130000000004657,16.9811320754717,0.0,17.92452830188679,61.320754716981135,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108739.65,21.20999999999185,22.22222222222222,0.0,18.51851851851852,59.25925925925926,0.0,0.0,0.0,0.0,0.0,0.0
108740.76,22.319999999992433,26.785714285714285,0.0,15.178571428571429,53.57142857142857,0.0,0.0,4.464285714285714,0.0,0.0,0.0
108741.86,23.419999999998254,34.25925925925926,0.0,20.37037037037037,44.44444444444444,0.0,0.0,0.9259259259259259,0.0,0.0,0.0
108742.92,24.479999999995925,20.754716981132077,0.0,15.09433962264151,60.37735849056604,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108743.98,25.539999999993597,19.81132075471698,0.0,16.9811320754717,60.37735849056604,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108745.04,26.59999999999127,22.641509433962263,0.0,15.09433962264151,59.43396226415094,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108746.1,27.660000000003492,20.754716981132077,0.0,17.92452830188679,60.37735849056604,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108747.16,28.720000000001164,20.754716981132077,0.0,15.09433962264151,61.320754716981135,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108748.22,29.779999999998836,24.528301886792452,0.0,13.20754716981132,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108749.28,30.839999999996508,20.754716981132077,0.0,16.037735849056602,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108750.34,31.89999999999418,20.754716981132077,0.0,16.9811320754717,58.490566037735846,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108751.4,32.95999999999185,26.41509433962264,0.0,16.037735849056602,56.60377358490566,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108752.46,34.020000000004075,16.9811320754717,0.0,20.754716981132077,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108753.51,35.06999999999243,25.471698113207548,0.0,14.150943396226415,57.54716981132076,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108754.57,36.13000000000466,24.528301886792452,0.0,13.20754716981132,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108755.63,37.19000000000233,16.9811320754717,0.0,21.69811320754717,59.43396226415094,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108756.69,38.25,20.952380952380953,0.0,16.19047619047619,61.904761904761905,0.0,0.0,0.9523809523809523,0.0,0.0,0.0
108757.75,39.30999999999767,19.81132075471698,0.0,16.9811320754717,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108758.81,40.36999999999534,21.69811320754717,0.0,14.150943396226415,63.20754716981132,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108759.87,41.429999999993015,16.037735849056602,0.0,20.754716981132077,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108760.93,42.48999999999069,16.037735849056602,0.0,20.754716981132077,60.37735849056604,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108761.99,43.55000000000291,18.867924528301888,0.0,17.92452830188679,59.43396226415094,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108763.05,44.61000000000058,21.69811320754717,0.0,13.20754716981132,60.37735849056604,0.0,0.0,4.716981132075472,0.0,0.0,0.0
108764.11,45.669999999998254,21.69811320754717,0.0,15.09433962264151,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108765.17,46.729999999995925,20.754716981132077,0.0,13.20754716981132,61.320754716981135,0.0,0.0,4.716981132075472,0.0,0.0,0.0
108766.23,47.7899999999936,19.81132075471698,0.0,19.81132075471698,57.54716981132076,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108767.29,48.84999999999127,21.69811320754717,0.0,16.9811320754717,59.43396226415094,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108768.37,49.929999999993015,22.22222222222222,0.0,13.88888888888889,61.111111111111114,0.0,0.0,2.7777777777777777,0.0,0.0,0.0
108769.43,50.98999999999069,20.754716981132077,0.0,17.92452830188679,59.43396226415094,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108770.49,52.05000000000291,18.867924528301888,0.0,17.92452830188679,60.37735849056604,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108771.55,53.11000000000058,30.18867924528302,0.0,24.528301886792452,41.509433962264154,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108772.63,54.19000000000233,17.59259259259259,0.0,17.59259259259259,61.111111111111114,0.0,0.0,3.7037037037037037,0.0,0.0,0.0
108773.69,55.25,23.58490566037736,0.0,11.320754716981131,61.320754716981135,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108774.77,56.330000000001746,18.51851851851852,0.0,20.37037037037037,58.333333333333336,0.0,0.0,2.7777777777777777,0.0,0.0,0.0
108775.83,57.38999999999942,23.58490566037736,0.0,15.09433962264151,59.43396226415094,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108776.89,58.44999999999709,22.857142857142858,0.0,15.238095238095237,60.0,0.0,0.0,1.9047619047619047,0.0,0.0,0.0
108777.94,59.5,22.641509433962263,0.0,14.150943396226415,60.37735849056604,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108779.0,60.55999999999767,17.92452830188679,0.0,19.81132075471698,59.43396226415094,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108780.06,61.61999999999534,14.150943396226415,0.0,19.81132075471698,59.43396226415094,0.0,0.0,6.60377358490566,0.0,0.0,0.0
108781.12,62.679999999993015,29.245283018867923,0.0,8.49056603773585,61.320754716981135,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108782.18,63.73999999999069,23.58490566037736,0.0,14.150943396226415,59.43396226415094,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108783.24,64.80000000000291,22.641509433962263,0.0,13.20754716981132,62.264150943396224,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108784.3,65.86000000000058,20.754716981132077,0.0,16.037735849056602,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108785.36,66.91999999999825,21.69811320754717,0.0,16.9811320754717,59.43396226415094,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108786.42,67.97999999999593,23.58490566037736,0.0,13.20754716981132,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108787.48,69.0399999999936,19.81132075471698,0.0,17.92452830188679,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108788.54,70.09999999999127,19.81132075471698,0.0,17.92452830188679,59.43396226415094,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108789.6,71.16000000000349,21.69811320754717,0.0,16.037735849056602,59.43396226415094,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108790.66,72.22000000000116,26.41509433962264,0.0,12.264150943396226,58.490566037735846,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108791.72,73.27999999999884,13.20754716981132,0.0,21.69811320754717,60.37735849056604,0.0,0.0,4.716981132075472,0.0,0.0,0.0
108792.78,74.33999999999651,20.754716981132077,0.0,14.150943396226415,59.43396226415094,0.0,0.0,5.660377358490566,0.0,0.0,0.0
108793.84,75.39999999999418,16.9811320754717,0.0,19.81132075471698,59.43396226415094,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108794.9,76.45999999999185,20.754716981132077,0.0,17.92452830188679,59.43396226415094,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108795.96,77.52000000000407,16.037735849056602,0.0,19.81132075471698,60.37735849056604,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108797.02,78.58000000000175,12.264150943396226,0.0,25.471698113207548,61.320754716981135,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108798.07,79.63000000000466,16.9811320754717,0.0,20.754716981132077,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108799.13,80.69000000000233,19.81132075471698,0.0,18.867924528301888,58.490566037735846,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108800.19,81.75,19.444444444444443,0.0,21.296296296296298,58.333333333333336,0.0,0.0,0.9259259259259259,0.0,0.0,0.0
108801.27,82.83000000000175,18.867924528301888,0.0,18.867924528301888,59.43396226415094,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108802.35,83.91000000000349,33.333333333333336,0.0,27.77777777777778,37.96296296296296,0.0,0.0,0.9259259259259259,0.0,0.0,0.0
108803.41,84.97000000000116,18.867924528301888,0.0,16.037735849056602,61.320754716981135,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108804.47,86.02999999999884,18.867924528301888,0.0,20.754716981132077,60.37735849056604,0.0,0.0,0.0,0.0,0.0,0.0
108805.54,87.09999999999127,25.471698113207548,0.0,12.264150943396226,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108806.59,88.14999999999418,19.444444444444443,0.0,16.666666666666668,62.03703703703704,0.0,0.0,1.8518518518518519,0.0,0.0,0.0
108807.67,89.22999999999593,21.69811320754717,0.0,16.037735849056602,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108808.77,90.33000000000175,17.431192660550458,0.0,22.01834862385321,58.71559633027523,0.0,0.0,1.834862385321101,0.0,0.0,0.0
108809.85,91.41000000000349,20.37037037037037,0.0,17.59259259259259,60.18518518518518,0.0,0.0,1.8518518518518519,0.0,0.0,0.0
108810.92,92.47999999999593,18.51851851851852,0.0,20.37037037037037,59.25925925925926,0.0,0.0,1.8518518518518519,0.0,0.0,0.0
108811.98,93.5399999999936,21.904761904761905,0.0,13.333333333333334,62.857142857142854,0.0,0.0,1.9047619047619047,0.0,0.0,0.0
108813.06,94.61999999999534,20.37037037037037,0.0,14.814814814814815,62.03703703703704,0.0,0.0,2.7777777777777777,0.0,0.0,0.0
108814.14,95.69999999999709,25.0,0.0,13.88888888888889,57.407407407407405,0.0,0.0,3.7037037037037037,0.0,0.0,0.0
108815.2,96.75999999999476,17.92452830188679,0.0,17.92452830188679,62.264150943396224,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108816.26,97.81999999999243,20.754716981132077,0.0,16.9811320754717,62.264150943396224,0.0,0.0,0.0,0.0,0.0,0.0
108817.32,98.88000000000466,14.953271028037383,0.0,21.49532710280374,61.6822429906542,0.0,0.0,1.8691588785046729,0.0,0.0,0.0
108818.39,99.94999999999709,23.80952380952381,0.0,14.285714285714286,59.04761904761905,0.0,0.0,2.857142857142857,0.0,0.0,0.0
108819.44,101.0,18.867924528301888,0.0,20.754716981132077,59.43396226415094,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108820.51,102.06999999999243,21.49532710280374,0.0,19.626168224299064,57.94392523364486,0.0,0.0,0.9345794392523364,0.0,0.0,0.0
108821.57,103.13000000000466,20.754716981132077,0.0,18.867924528301888,56.60377358490566,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108822.63,104.19000000000233,23.58490566037736,0.0,14.150943396226415,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108823.69,105.25,19.81132075471698,0.0,17.92452830188679,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108824.75,106.30999999999767,21.904761904761905,0.0,12.380952380952381,61.904761904761905,0.0,0.0,3.8095238095238093,0.0,0.0,0.0
108825.81,107.36999999999534,19.81132075471698,0.0,17.92452830188679,57.54716981132076,0.0,0.0,4.716981132075472,0.0,0.0,0.0
108826.86,108.41999999999825,18.867924528301888,0.0,16.9811320754717,61.320754716981135,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108827.92,109.47999999999593,21.69811320754717,0.0,15.09433962264151,60.37735849056604,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108828.98,110.5399999999936,23.58490566037736,0.0,13.20754716981132,62.264150943396224,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108830.04,111.59999999999127,19.81132075471698,0.0,16.9811320754717,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108831.1,112.66000000000349,18.867924528301888,0.0,19.81132075471698,59.43396226415094,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108832.16,113.72000000000116,26.41509433962264,0.0,30.18867924528302,41.509433962264154,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108833.22,114.77999999999884,21.69811320754717,0.0,16.9811320754717,59.43396226415094,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108834.28,115.83999999999651,23.58490566037736,0.0,15.09433962264151,58.490566037735846,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108835.34,116.89999999999418,22.641509433962263,0.0,15.09433962264151,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108836.4,117.95999999999185,25.471698113207548,0.0,14.150943396226415,59.43396226415094,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108837.46,119.02000000000407,20.754716981132077,0.0,14.150943396226415,61.320754716981135,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108838.52,120.08000000000175,21.69811320754717,0.0,16.037735849056602,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108839.58,121.13999999999942,21.69811320754717,0.0,15.09433962264151,60.37735849056604,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108840.63,122.19000000000233,17.92452830188679,0.0,19.81132075471698,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108841.7,123.25999999999476,18.867924528301888,0.0,18.867924528301888,61.320754716981135,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108842.75,124.30999999999767,22.641509433962263,0.0,15.09433962264151,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108843.81,125.36999999999534,18.095238095238095,0.0,19.047619047619047,61.904761904761905,0.0,0.0,0.9523809523809523,0.0,0.0,0.0
108844.87,126.42999999999302,19.81132075471698,0.0,13.20754716981132,61.320754716981135,0.0,0.0,5.660377358490566,0.0,0.0,0.0
108845.95,127.50999999999476,21.296296296296298,0.0,16.666666666666668,59.25925925925926,0.0,0.0,2.7777777777777777,0.0,0.0,0.0
108847.03,128.5899999999965,17.59259259259259,0.0,17.59259259259259,61.111111111111114,0.0,0.0,3.7037037037037037,0.0,0.0,0.0
108848.09,129.64999999999418,19.81132075471698,0.0,17.92452830188679,61.320754716981135,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108849.17,130.72999999999593,25.925925925925927,0.0,12.037037037037036,60.18518518518518,0.0,0.0,1.8518518518518519,0.0,0.0,0.0
108850.23,131.7899999999936,20.754716981132077,0.0,14.150943396226415,62.264150943396224,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108851.29,132.84999999999127,21.69811320754717,0.0,15.09433962264151,59.43396226415094,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108852.35,133.9100000000035,16.822429906542055,0.0,18.69158878504673,59.81308411214953,0.0,0.0,4.672897196261682,0.0,0.0,0.0
108853.43,134.9899999999907,21.296296296296298,0.0,16.666666666666668,57.407407407407405,0.0,0.0,4.62962962962963,0.0,0.0,0.0
108854.49,136.0500000000029,17.59259259259259,0.0,16.666666666666668,62.03703703703704,0.0,0.0,3.7037037037037037,0.0,0.0,0.0
108855.57,137.13000000000466,25.471698113207548,0.0,11.320754716981131,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108856.65,138.20999999999185,17.59259259259259,0.0,23.14814814814815,56.48148148148148,0.0,0.0,2.7777777777777777,0.0,0.0,0.0
108857.71,139.27000000000407,18.095238095238095,0.0,18.095238095238095,61.904761904761905,0.0,0.0,1.9047619047619047,0.0,0.0,0.0
108858.77,140.33000000000175,17.92452830188679,0.0,18.867924528301888,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108859.83,141.38999999999942,18.867924528301888,0.0,19.81132075471698,60.37735849056604,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108860.89,142.4499999999971,21.69811320754717,0.0,16.037735849056602,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108861.95,143.50999999999476,20.754716981132077,0.0,16.037735849056602,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108863.01,144.56999999999243,28.30188679245283,0.0,26.41509433962264,42.45283018867924,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108864.07,145.63000000000466,16.037735849056602,0.0,20.754716981132077,60.37735849056604,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108865.13,146.69000000000233,19.81132075471698,0.0,17.92452830188679,61.320754716981135,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108866.19,147.75,15.09433962264151,0.0,17.92452830188679,62.264150943396224,0.0,0.0,4.716981132075472,0.0,0.0,0.0
108867.25,148.80999999999767,19.81132075471698,0.0,16.9811320754717,59.43396226415094,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108868.31,149.86999999999534,20.754716981132077,0.0,15.09433962264151,61.320754716981135,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108869.37,150.92999999999302,20.754716981132077,0.0,18.867924528301888,58.490566037735846,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108870.42,151.97999999999593,17.142857142857142,0.0,19.047619047619047,61.904761904761905,0.0,0.0,1.9047619047619047,0.0,0.0,0.0
108871.49,153.0500000000029,24.299065420560748,0.0,15.88785046728972,58.87850467289719,0.0,0.0,0.9345794392523364,0.0,0.0,0.0
108872.55,154.11000000000058,19.81132075471698,0.0,16.037735849056602,62.264150943396224,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108873.61,155.16999999999825,17.142857142857142,0.0,18.095238095238095,62.857142857142854,0.0,0.0,1.9047619047619047,0.0,0.0,0.0
108874.66,156.22000000000116,23.58490566037736,0.0,11.320754716981131,61.320754716981135,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108875.72,157.27999999999884,23.58490566037736,0.0,16.037735849056602,60.37735849056604,0.0,0.0,0.0,0.0,0.0,0.0
108876.78,158.3399999999965,21.69811320754717,0.0,14.150943396226415,60.37735849056604,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108877.84,159.39999999999418,16.037735849056602,0.0,17.92452830188679,62.264150943396224,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108878.9,160.45999999999185,25.471698113207548,0.0,12.264150943396226,61.320754716981135,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108879.96,161.52000000000407,16.9811320754717,0.0,21.69811320754717,59.43396226415094,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108881.02,162.58000000000175,23.58490566037736,0.0,16.037735849056602,58.490566037735846,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108882.08,163.63999999999942,23.58490566037736,0.0,16.037735849056602,59.43396226415094,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108883.15,164.70999999999185,21.296296296296298,0.0,15.74074074074074,60.18518518518518,0.0,0.0,2.7777777777777777,0.0,0.0,0.0
108884.21,165.77000000000407,20.952380952380953,0.0,13.333333333333334,62.857142857142854,0.0,0.0,2.857142857142857,0.0,0.0,0.0
108885.27,166.83000000000175,17.92452830188679,0.0,18.867924528301888,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108886.35,167.9100000000035,20.37037037037037,0.0,15.74074074074074,59.25925925925926,0.0,0.0,4.62962962962963,0.0,0.0,0.0
108887.43,168.9899999999907,21.296296296296298,0.0,15.74074074074074,60.18518518518518,0.0,0.0,2.7777777777777777,0.0,0.0,0.0
108888.49,170.0500000000029,16.9811320754717,0.0,17.92452830188679,62.264150943396224,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108889.57,171.13000000000466,18.51851851851852,0.0,16.666666666666668,62.96296296296296,0.0,0.0,1.8518518518518519,0.0,0.0,0.0
108890.65,172.20999999999185,23.14814814814815,0.0,16.666666666666668,59.25925925925926,0.0,0.0,0.9259259259259259,0.0,0.0,0.0
108891.73,173.2899999999936,12.962962962962964,0.0,22.22222222222222,61.111111111111114,0.0,0.0,3.7037037037037037,0.0,0.0,0.0
108892.79,174.34999999999127,26.85185185185185,0.0,28.703703703703702,41.666666666666664,0.0,0.0,2.7777777777777777,0.0,0.0,0.0
108893.87,175.42999999999302,16.822429906542055,0.0,21.49532710280374,60.74766355140187,0.0,0.0,0.9345794392523364,0.0,0.0,0.0
108894.93,176.4899999999907,19.81132075471698,0.0,16.9811320754717,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108895.99,177.5500000000029,20.0,0.0,16.19047619047619,60.95238095238095,0.0,0.0,2.857142857142857,0.0,0.0,0.0
108897.05,178.61000000000058,18.867924528301888,0.0,16.9811320754717,62.264150943396224,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108898.13,179.69000000000233,21.296296296296298,0.0,20.37037037037037,56.48148148148148,0.0,0.0,1.8518518518518519,0.0,0.0,0.0
108899.19,180.75,18.867924528301888,0.0,17.92452830188679,57.54716981132076,0.0,0.0,5.660377358490566,0.0,0.0,0.0
108900.26,181.81999999999243,25.233644859813083,0.0,8.411214953271028,62.61682242990654,0.0,0.0,3.7383177570093458,0.0,0.0,0.0
108901.32,182.88000000000466,22.429906542056074,0.0,19.626168224299064,55.14018691588785,0.0,0.0,2.803738317757009,0.0,0.0,0.0
108902.39,183.9499999999971,19.81132075471698,0.0,17.92452830188679,59.43396226415094,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108903.45,185.00999999999476,22.641509433962263,0.0,15.09433962264151,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108904.5,186.05999999999767,17.142857142857142,0.0,17.142857142857142,62.857142857142854,0.0,0.0,2.857142857142857,0.0,0.0,0.0
108905.57,187.13000000000466,19.81132075471698,0.0,18.867924528301888,59.43396226415094,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
